OrderID,CustomerID,RestaurantID,OrderDate,TotalAmount,Status,PaymentMethod,CreatedDate,ModifiedDate
20234601,36623,478,2023-01-03 14:09:00,5804,Delivered,UPI,2023-01-03 14:09:00,
20234602,10246,511,2023-01-03 08:16:00,206,Delivered,Credit Card,2023-01-03 08:16:00,
20234603,29778,1327,2023-01-03 19:41:00,676,Delivered,Wallet,2023-01-03 19:41:00,
20234604,78805,15,2023-01-03 07:28:00,764,Delivered,Credit Card,2023-01-03 07:28:00,
20234605,29128,444,2023-01-03 14:48:00,681,Delivered,Credit Card,2023-01-03 14:48:00,
20234606,27608,1723,2023-01-03 07:02:00,6738,Delivered,UPI,2023-01-03 07:02:00,
20234607,17864,873,2023-01-03 09:44:00,2141,Failed,Credit Card,2023-01-03 09:44:00,
20234608,53366,374,2023-01-03 09:40:00,904,Delivered,Wallet,2023-01-03 09:40:00,
20234609,7278,1165,2023-01-03 12:51:00,456,Delivered,Credit Card,2023-01-03 12:51:00,
20234610,11545,421,2023-01-03 09:56:00,5237,Delivered,Credit Card,2023-01-03 09:56:00,
20234611,96689,134,2023-01-03 14:15:00,266,Returned,Credit Card,2023-01-03 14:15:00,
20234612,16211,988,2023-01-03 09:52:00,2505,Delivered,UPI,2023-01-03 09:52:00,
20234613,47978,1274,2023-01-03 12:13:00,151,Delivered,Wallet,2023-01-03 12:13:00,
20234614,60914,264,2023-01-03 07:21:00,432,Delivered,UPI,2023-01-03 07:21:00,
20234615,62487,1762,2023-01-03 14:19:00,2544,Delivered,Wallet,2023-01-03 14:19:00,
20234616,94467,849,2023-01-03 13:30:00,202,Delivered,UPI,2023-01-03 13:30:00,
20234617,90515,1752,2023-01-03 09:03:00,628,Delivered,Credit Card,2023-01-03 09:03:00,
20234618,7911,42,2023-01-03 19:19:00,3572,Delivered,Credit Card,2023-01-03 19:19:00,
20234619,65387,1517,2023-01-03 09:16:00,788,Delivered,UPI,2023-01-03 09:16:00,
20234620,88372,1492,2023-01-03 13:17:00,1008,Delivered,UPI,2023-01-03 13:17:00,
20234621,36950,1430,2023-01-03 08:56:00,2936,Delivered,UPI,2023-01-03 08:56:00,
20234622,30972,744,2023-01-03 08:34:00,2428,Delivered,UPI,2023-01-03 08:34:00,
20234623,32895,892,2023-01-03 14:09:00,495,Delivered,Wallet,2023-01-03 14:09:00,
20234624,29863,1018,2023-01-03 08:22:00,2550,Delivered,Credit Card,2023-01-03 08:22:00,
20234625,9051,140,2023-01-03 09:57:00,2393,Delivered,CoD,2023-01-03 09:57:00,
20234626,19250,1539,2023-01-03 07:49:00,994,Delivered,Wallet,2023-01-03 07:49:00,
20234627,74835,1700,2023-01-03 07:15:00,2228,Delivered,Wallet,2023-01-03 07:15:00,
20234628,71788,1524,2023-01-03 09:32:00,1178,Delivered,Credit Card,2023-01-03 09:32:00,
20234629,82243,1748,2023-01-03 08:42:00,4107,Delivered,Wallet,2023-01-03 08:42:00,
20234630,99561,677,2023-01-03 09:50:00,1186,Delivered,Credit Card,2023-01-03 09:50:00,
20234631,79556,1749,2023-01-03 08:59:00,1935,Delivered,Credit Card,2023-01-03 08:59:00,
20234632,71447,281,2023-01-03 20:10:00,278,Delivered,UPI,2023-01-03 20:10:00,
20234633,64858,1793,2023-01-03 09:31:00,433,Delivered,Credit Card,2023-01-03 09:31:00,
20234634,32380,838,2023-01-03 09:27:00,3060,Delivered,Credit Card,2023-01-03 09:27:00,
20234635,31592,677,2023-01-03 08:47:00,1635,Delivered,Credit Card,2023-01-03 08:47:00,
20234636,84965,1574,2023-01-03 20:34:00,1078,Delivered,Wallet,2023-01-03 20:34:00,
20234637,47447,1073,2023-01-03 08:57:00,877,Delivered,Wallet,2023-01-03 08:57:00,
20234638,67589,983,2023-01-03 08:38:00,334,Delivered,Credit Card,2023-01-03 08:38:00,
20234639,51867,1471,2023-01-03 09:09:00,372,Delivered,UPI,2023-01-03 09:09:00,
20234640,89035,15,2023-01-03 07:47:00,2170,Delivered,UPI,2023-01-03 07:47:00,
20234641,96159,1751,2023-01-03 09:23:00,2601,Delivered,Credit Card,2023-01-03 09:23:00,
20234642,35998,704,2023-01-03 08:47:00,4901,Delivered,UPI,2023-01-03 08:47:00,
20234643,39190,1371,2023-01-03 19:48:00,1581,Delivered,UPI,2023-01-03 19:48:00,
20234644,21879,1798,2023-01-03 07:38:00,139,Delivered,UPI,2023-01-03 07:38:00,
20234645,86371,1431,2023-01-03 07:25:00,1389,Delivered,Credit Card,2023-01-03 07:25:00,
20234646,50722,810,2023-01-03 14:11:00,136,Delivered,Credit Card,2023-01-03 14:11:00,
20234647,31128,368,2023-01-03 07:51:00,5876,Delivered,Credit Card,2023-01-03 07:51:00,
20234648,84321,497,2023-01-03 12:27:00,3176,Delivered,Credit Card,2023-01-03 12:27:00,
20234649,41,1516,2023-01-03 12:01:00,4186,Delivered,Credit Card,2023-01-03 12:01:00,
20234650,70681,898,2023-01-03 07:05:00,3170,Delivered,UPI,2023-01-03 07:05:00,
20234651,78506,358,2023-01-03 12:15:00,665,Delivered,Credit Card,2023-01-03 12:15:00,
20234652,15415,1409,2023-01-03 08:55:00,180,Delivered,UPI,2023-01-03 08:55:00,
20234653,92523,38,2023-01-03 09:22:00,3930,Delivered,Credit Card,2023-01-03 09:22:00,
20234654,43626,115,2023-01-03 08:42:00,1132,Delivered,Credit Card,2023-01-03 08:42:00,
20234655,74193,317,2023-01-03 20:13:00,1736,Delivered,UPI,2023-01-03 20:13:00,
20234656,92195,1623,2023-01-03 07:01:00,3830,Delivered,Credit Card,2023-01-03 07:01:00,
20234657,14948,1175,2023-01-03 09:55:00,860,Delivered,Credit Card,2023-01-03 09:55:00,
20234658,93395,943,2023-01-03 07:06:00,1762,Delivered,Credit Card,2023-01-03 07:06:00,
20234659,9507,40,2023-01-04 09:25:00,1840,Delivered,Credit Card,2023-01-04 09:25:00,
20234660,106,1512,2023-01-04 13:44:00,1440,Delivered,Wallet,2023-01-04 13:44:00,
20234661,45042,158,2023-01-04 07:20:00,3610,Delivered,UPI,2023-01-04 07:20:00,
20234662,93810,54,2023-01-04 07:57:00,2372,Delivered,Credit Card,2023-01-04 07:57:00,
20234663,28883,683,2023-01-04 08:20:00,1925,Delivered,Credit Card,2023-01-04 08:20:00,
20234664,92540,457,2023-01-04 13:46:00,1175,Delivered,Credit Card,2023-01-04 13:46:00,
