OrderItemID,OrderID,MenuID,Quantity,Price,Subtotal,CreatedDate,ModifiedDate
202313013213,20231301,4045,2,169,338,2023-01-01 12:27:00,
202313013214,20231301,4046,3,124,372,2023-01-01 12:27:00,
202313013215,20231301,4047,1,115,115,2023-01-01 12:27:00,
202313013216,20231301,4049,4,224,896,2023-01-01 12:27:00,
202313013217,20231301,4048,3,205,615,2023-01-01 12:27:00,
202313023218,20231302,4586,2,229,458,2023-01-01 09:52:00,
202313023219,20231302,4585,5,236,1180,2023-01-01 09:52:00,
202313023220,20231302,4588,2,171,342,2023-01-01 09:52:00,
202313023221,20231302,4587,3,203,609,2023-01-01 09:52:00,
202313033222,20231303,3276,1,162,162,2023-01-01 09:31:00,
202313033223,20231303,3275,1,199,199,2023-01-01 09:31:00,
202313043224,20231304,1818,3,422,1266,2023-01-01 13:16:00,
202313053225,20231305,486,2,100,200,2023-01-01 20:23:00,
202313053226,20231305,488,5,184,920,2023-01-01 20:23:00,
202313063227,20231306,2901,1,166,166,2023-01-01 14:15:00,
202313073228,20231307,3217,5,99,495,2023-01-01 12:51:00,
202313073229,20231307,3215,2,331,662,2023-01-01 12:51:00,
202313073230,20231307,3216,4,371,1484,2023-01-01 12:51:00,
202313083231,20231308,2957,2,57,114,2023-01-01 19:41:00,
202313083232,20231308,2959,1,115,115,2023-01-01 19:41:00,
202313083233,20231308,2958,5,67,335,2023-01-01 19:41:00,
202313093234,20231309,2184,3,157,471,2023-01-01 07:40:00,
202313093235,20231309,2182,2,212,424,2023-01-01 07:40:00,
202313103236,20231310,826,4,670,2680,2023-01-01 09:18:00,
202313103237,20231310,827,5,535,2675,2023-01-01 09:18:00,
202313113238,20231311,1569,1,573,573,2023-01-01 12:04:00,
202313113239,20231311,1570,4,591,2364,2023-01-01 12:04:00,
202313113240,20231311,1573,4,652,2608,2023-01-01 12:04:00,
202313113241,20231311,1572,3,424,1272,2023-01-01 12:04:00,
202313113242,20231311,1571,1,514,514,2023-01-01 12:04:00,
202313123243,20231312,516,2,201,402,2023-01-01 08:31:00,
202313133244,20231313,222,4,558,2232,2023-01-01 07:35:00,
202313133245,20231313,221,5,103,515,2023-01-01 07:35:00,
202313133246,20231313,223,3,128,384,2023-01-01 07:35:00,
202313143247,20231314,3224,4,115,460,2023-01-01 12:31:00,
202313143248,20231314,3225,1,57,57,2023-01-01 12:31:00,
202313153249,20231315,2693,5,76,380,2023-01-01 14:25:00,
202313163250,20231316,4530,2,120,240,2023-01-01 09:58:00,
202313163251,20231316,4527,5,226,1130,2023-01-01 09:58:00,
202313163252,20231316,4528,5,170,850,2023-01-01 09:58:00,
202313173253,20231317,4670,2,365,730,2023-01-01 08:24:00,
202313173254,20231317,4669,2,103,206,2023-01-01 08:24:00,
202313173255,20231317,4668,5,105,525,2023-01-01 08:24:00,
202313183256,20231318,1008,3,288,864,2023-01-01 19:28:00,
