DeliveryID,OrderID,DeliveryAgentID,DeliveryStatus,EstimatedTime,DeliveryAddress,DeliveryDate,CreatedDate,ModifiedDate
20233301,20233301,3,Delivered,41 minutes,15711,2023-01-04 04:13:00,2023-01-03 14:13:00,
20233302,20233302,15,Delivered,46 minutes,34123,2023-01-05 10:06:00,2023-01-03 13:06:00,
20233303,20233303,28,Delivered,56 minutes,90830,2023-01-04 07:39:00,2023-01-03 09:39:00,
20233304,20233304,36,Delivered,32 minutes,12054,2023-01-05 00:15:00,2023-01-03 20:15:00,
20233305,20233305,3,Delivered,28 minutes,51209,2023-01-04 11:55:00,2023-01-03 12:55:00,
20233306,20233306,2,Delivered,44 minutes,43580,2023-01-04 17:10:00,2023-01-03 08:10:00,
20233307,20233307,30,Delivered,48 minutes,20102,2023-01-04 04:41:00,2023-01-03 08:41:00,
20233308,20233308,27,Delivered,41 minutes,73131,2023-01-03 19:42:00,2023-01-03 08:42:00,
20233309,20233309,2,Delivered,32 minutes,5125,2023-01-04 15:08:00,2023-01-03 14:08:00,
20233310,20233310,4,Delivered,60 minutes,41312,2023-01-05 06:39:00,2023-01-03 07:39:00,
20233311,20233311,9,Delivered,19 minutes,75966,2023-01-03 22:26:00,2023-01-03 12:26:00,
20233312,20233312,28,Delivered,41 minutes,93986,2023-01-03 23:23:00,2023-01-03 07:23:00,
20233313,20233313,36,Delivered,52 minutes,80719,2023-01-04 00:52:00,2023-01-03 08:52:00,
20233314,20233314,4,Delivered,7 minutes,73353,2023-01-04 07:34:00,2023-01-03 09:34:00,
20233315,20233315,15,Delivered,25 minutes,79341,2023-01-03 21:04:00,2023-01-03 07:04:00,
20233316,20233316,27,Delivered,37 minutes,30622,2023-01-03 14:32:00,2023-01-03 07:32:00,
20233317,20233317,35,Delivered,8 minutes,59959,2023-01-04 02:59:00,2023-01-03 09:59:00,
20233318,20233318,12,Delivered,57 minutes,93204,2023-01-03 15:35:00,2023-01-03 07:35:00,
20233319,20233319,3,Delivered,18 minutes,68933,2023-01-04 11:58:00,2023-01-03 08:58:00,
20233320,20233320,4,Delivered,17 minutes,62458,2023-01-05 07:01:00,2023-01-03 14:01:00,
20233321,20233321,30,Canceled,34 minutes,26041,2023-01-05 04:47:00,2023-01-03 14:47:00,
20233322,20233322,31,Delivered,60 minutes,14790,2023-01-03 12:34:00,2023-01-03 09:34:00,
20233323,20233323,30,Delivered,34 minutes,75766,2023-01-04 03:27:00,2023-01-03 07:27:00,
20233324,20233324,13,Delivered,6 minutes,7482,2023-01-03 15:13:00,2023-01-03 13:13:00,
20233325,20233325,11,Delivered,14 minutes,29689,2023-01-03 18:40:00,2023-01-03 07:40:00,
20233326,20233326,38,Delivered,20 minutes,20372,2023-01-04 06:14:00,2023-01-03 08:14:00,
20233327,20233327,7,Delivered,38 minutes,76523,2023-01-04 19:29:00,2023-01-03 08:29:00,
20233328,20233328,40,Delivered,54 minutes,13356,2023-01-04 03:24:00,2023-01-03 09:24:00,
20233329,20233329,32,Delivered,39 minutes,25642,2023-01-05 08:32:00,2023-01-03 12:32:00,
20233330,20233330,23,Delivered,44 minutes,56599,2023-01-03 10:23:00,2023-01-03 07:23:00,
20233331,20233331,39,Delivered,37 minutes,75086,2023-01-03 14:43:00,2023-01-03 09:43:00,
20233332,20233332,24,Delivered,12 minutes,9227,2023-01-05 00:29:00,2023-01-03 09:29:00,
20233333,20233333,2,Delivered,19 minutes,87602,2023-01-04 02:20:00,2023-01-03 09:20:00,
20233334,20233334,5,Delivered,10 minutes,3160,2023-01-05 09:21:00,2023-01-03 13:21:00,
20233335,20233335,3,Delivered,31 minutes,36332,2023-01-04 11:31:00,2023-01-03 08:31:00,
20233336,20233336,11,Delivered,47 minutes,66679,2023-01-05 05:49:00,2023-01-03 09:49:00,
20233337,20233337,22,Delivered,17 minutes,60520,2023-01-03 18:10:00,2023-01-03 12:10:00,
20233338,20233338,29,Delivered,28 minutes,22048,2023-01-04 00:55:00,2023-01-03 13:55:00,
20233339,20233339,21,Delivered,28 minutes,53155,2023-01-05 11:15:00,2023-01-03 19:15:00,
20233340,20233340,39,Delivered,34 minutes,9777,2023-01-03 17:43:00,2023-01-03 08:43:00,
20233341,20233341,33,Delivered,10 minutes,35243,2023-01-04 06:03:00,2023-01-03 07:03:00,
20233342,20233342,25,Delivered,21 minutes,65535,2023-01-04 11:39:00,2023-01-03 20:39:00,
20233343,20233343,4,Delivered,48 minutes,92896,2023-01-04 11:43:00,2023-01-03 09:43:00,
20233344,20233344,18,Delivered,14 minutes,50590,2023-01-03 19:46:00,2023-01-03 08:46:00,
20233345,20233345,14,Delivered,5 minutes,51114,2023-01-05 07:30:00,2023-01-03 13:30:00,
20233346,20233346,38,Delivered,50 minutes,27769,2023-01-04 18:00:00,2023-01-03 09:00:00,
20233347,20233347,10,Delivered,59 minutes,87253,2023-01-04 14:15:00,2023-01-03 09:15:00,
20233348,20233348,38,Delivered,37 minutes,7256,2023-01-04 00:13:00,2023-01-03 07:13:00,
20233349,20233349,12,Delivered,14 minutes,46128,2023-01-03 20:32:00,2023-01-03 08:32:00,
20233350,20233350,34,Delivered,31 minutes,75081,2023-01-03 21:15:00,2023-01-03 09:15:00,
20233351,20233351,39,Delivered,51 minutes,96313,2023-01-04 12:00:00,2023-01-03 08:00:00,
20233352,20233352,20,Delivered,22 minutes,63053,2023-01-04 17:25:00,2023-01-03 09:25:00,
20233353,20233353,13,Delivered,36 minutes,70205,2023-01-05 03:58:00,2023-01-03 13:58:00,
20233354,20233354,1,Delivered,10 minutes,15694,2023-01-04 23:35:00,2023-01-03 14:35:00,
20233355,20233355,8,Failed,60 minutes,27877,2023-01-03 18:30:00,2023-01-03 09:30:00,
20233356,20233356,13,Delivered,41 minutes,36782,2023-01-03 17:46:00,2023-01-03 07:46:00,
20233357,20233357,36,Delivered,11 minutes,89483,2023-01-04 00:49:00,2023-01-03 08:49:00,
20233358,20233358,1,Delivered,55 minutes,49784,2023-01-04 13:19:00,2023-01-03 09:19:00,
20233359,20233359,37,Delivered,59 minutes,49025,2023-01-04 19:13:00,2023-01-03 07:13:00,
20233360,20233360,29,Delivered,24 minutes,62048,2023-01-05 01:58:00,2023-01-03 08:58:00,
20233361,20233361,18,Delivered,15 minutes,72937,2023-01-04 11:40:00,2023-01-03 07:40:00,
20233362,20233362,1,Delivered,50 minutes,2871,2023-01-04 19:01:00,2023-01-03 13:01:00,
20233363,20233363,22,Delivered,7 minutes,26439,2023-01-04 00:20:00,2023-01-03 13:20:00,
20233364,20233364,20,Delivered,14 minutes,51210,2023-01-03 23:57:00,2023-01-03 14:57:00,
20233365,20233365,16,Delivered,27 minutes,58953,2023-01-04 23:05:00,2023-01-03 09:05:00,
20233366,20233366,11,Delivered,34 minutes,46980,2023-01-03 23:19:00,2023-01-03 07:19:00,
20233367,20233367,31,Delivered,46 minutes,38765,2023-01-04 20:47:00,2023-01-03 09:47:00,
20233368,20233368,20,Delivered,14 minutes,52132,2023-01-03 23:46:00,2023-01-03 09:46:00,
20233369,20233369,2,Delivered,32 minutes,74849,2023-01-04 08:19:00,2023-01-03 08:19:00,
20233370,20233370,32,Delivered,10 minutes,88850,2023-01-03 14:54:00,2023-01-03 09:54:00,
20233371,20233371,21,Delivered,11 minutes,64174,2023-01-05 05:28:00,2023-01-03 07:28:00,
20233372,20233372,2,Delivered,56 minutes,98927,2023-01-04 05:18:00,2023-01-03 20:18:00,
20233373,20233373,31,Delivered,40 minutes,50642,2023-01-05 01:30:00,2023-01-03 09:30:00,
20233374,20233374,21,Delivered,44 minutes,49003,2023-01-03 22:59:00,2023-01-03 08:59:00,
20233375,20233375,29,Delivered,45 minutes,88121,2023-01-04 11:39:00,2023-01-03 07:39:00,
20233376,20233376,12,Delivered,47 minutes,13408,2023-01-03 18:15:00,2023-01-03 13:15:00,
20233377,20233377,30,Delivered,39 minutes,77048,2023-01-03 15:06:00,2023-01-03 09:06:00,
20233378,20233378,20,Delivered,31 minutes,20120,2023-01-03 13:38:00,2023-01-03 07:38:00,
20233379,20233379,9,Delivered,21 minutes,69360,2023-01-04 17:06:00,2023-01-03 07:06:00,
20233380,20233380,22,Delivered,43 minutes,89401,2023-01-04 00:37:00,2023-01-03 19:37:00,
20233381,20233381,35,Delivered,59 minutes,12790,2023-01-03 15:58:00,2023-01-03 14:58:00,
20233382,20233382,38,Delivered,11 minutes,77094,2023-01-04 16:22:00,2023-01-03 08:22:00,
20233383,20233383,19,Delivered,23 minutes,77949,2023-01-05 07:54:00,2023-01-03 09:54:00,
20233384,20233384,22,Delivered,41 minutes,78675,2023-01-05 10:19:00,2023-01-03 12:19:00,
20233385,20233385,9,Delivered,14 minutes,36043,2023-01-03 08:51:00,2023-01-03 07:51:00,
20233386,20233386,22,Delivered,8 minutes,46173,2023-01-04 13:15:00,2023-01-03 08:15:00,
20233387,20233387,2,Delivered,49 minutes,74797,2023-01-04 05:08:00,2023-01-03 09:08:00,
20233388,20233388,37,Delivered,20 minutes,6944,2023-01-04 23:25:00,2023-01-03 09:25:00,
20233389,20233389,12,Delivered,31 minutes,31840,2023-01-04 03:59:00,2023-01-03 09:59:00,
20233390,20233390,2,Delivered,20 minutes,84012,2023-01-04 06:27:00,2023-01-03 09:27:00,
20233391,20233391,7,Delivered,33 minutes,68315,2023-01-04 11:33:00,2023-01-03 13:33:00,
20233392,20233392,24,Delivered,18 minutes,27679,2023-01-04 02:36:00,2023-01-03 07:36:00,
20233393,20233393,39,Delivered,35 minutes,91678,2023-01-05 08:10:00,2023-01-03 08:10:00,
20233394,20233394,21,Delivered,12 minutes,34497,2023-01-04 04:14:00,2023-01-03 09:14:00,
20233395,20233395,32,Delivered,27 minutes,3800,2023-01-05 19:52:00,2023-01-03 19:52:00,
20233396,20233396,13,Delivered,25 minutes,86708,2023-01-04 15:36:00,2023-01-03 14:36:00,
20233397,20233397,1,Delivered,46 minutes,31135,2023-01-05 04:40:00,2023-01-03 08:40:00,
20233398,20233398,9,Delivered,11 minutes,60115,2023-01-03 20:42:00,2023-01-03 13:42:00,
20233399,20233399,21,Delivered,21 minutes,63227,2023-01-03 12:38:00,2023-01-03 09:38:00,
