DeliveryID,OrderID,DeliveryAgentID,DeliveryStatus,EstimatedTime,DeliveryAddress,DeliveryDate,CreatedDate,ModifiedDate
2023401,2023401,12,Delivered,32 minutes,18656,2023-01-02 11:55:00,2023-01-01 12:55:00,
2023402,2023402,27,Delivered,5 minutes,50248,2023-01-01 19:49:00,2023-01-01 07:49:00,
2023403,2023403,33,Delivered,22 minutes,43964,2023-01-03 00:06:00,2023-01-01 14:06:00,
2023404,2023404,3,Delivered,13 minutes,83978,2023-01-02 08:07:00,2023-01-01 09:07:00,
2023405,2023405,21,Delivered,47 minutes,12655,2023-01-01 23:28:00,2023-01-01 07:28:00,
2023406,2023406,12,Delivered,59 minutes,39282,2023-01-02 03:49:00,2023-01-01 08:49:00,
2023407,2023407,32,Delivered,45 minutes,23508,2023-01-01 16:42:00,2023-01-01 14:42:00,
2023408,2023408,31,Delivered,7 minutes,71891,2023-01-02 20:47:00,2023-01-01 09:47:00,
2023409,2023409,33,Delivered,38 minutes,62274,2023-01-03 01:25:00,2023-01-01 13:25:00,
2023410,2023410,21,Delivered,17 minutes,58602,2023-01-02 04:36:00,2023-01-01 08:36:00,
2023411,2023411,24,Delivered,24 minutes,543,2023-01-02 02:05:00,2023-01-01 07:05:00,
2023412,2023412,22,Delivered,36 minutes,86521,2023-01-02 21:41:00,2023-01-01 19:41:00,
2023413,2023413,26,Delivered,40 minutes,71909,2023-01-02 09:41:00,2023-01-01 08:41:00,
2023414,2023414,10,Delivered,35 minutes,22750,2023-01-02 23:21:00,2023-01-01 07:21:00,
2023415,2023415,32,Delivered,26 minutes,67877,2023-01-02 17:36:00,2023-01-01 08:36:00,
2023416,2023416,5,Delivered,49 minutes,47580,2023-01-02 03:09:00,2023-01-01 08:09:00,
2023417,2023417,14,Delivered,21 minutes,28302,2023-01-01 14:32:00,2023-01-01 13:32:00,
2023418,2023418,2,Delivered,28 minutes,98712,2023-01-02 14:02:00,2023-01-01 12:02:00,
2023419,2023419,27,Delivered,23 minutes,67592,2023-01-01 09:31:00,2023-01-01 08:31:00,
