DeliveryID,OrderID,DeliveryAgentID,DeliveryStatus,EstimatedTime,DeliveryAddress,DeliveryDate,CreatedDate,ModifiedDate
20232001,20232001,39,Delivered,30 minutes,4947,2023-01-03 12:07:00,2023-01-02 07:07:00,
20232002,20232002,24,Delivered,8 minutes,55872,2023-01-03 08:38:00,2023-01-02 09:38:00,
20232003,20232003,28,Delivered,30 minutes,71167,2023-01-04 03:49:00,2023-01-02 09:49:00,
20232004,20232004,27,Delivered,20 minutes,45344,2023-01-03 09:08:00,2023-01-02 14:08:00,
20232005,20232005,35,Delivered,45 minutes,12789,2023-01-03 21:26:00,2023-01-02 08:26:00,
20232006,20232006,39,Delivered,30 minutes,19240,2023-01-03 16:49:00,2023-01-02 08:49:00,
20232007,20232007,19,Delivered,20 minutes,7539,2023-01-03 18:33:00,2023-01-02 08:33:00,
20232008,20232008,5,Delivered,8 minutes,6376,2023-01-04 02:02:00,2023-01-02 19:02:00,
20232009,20232009,21,Delivered,57 minutes,96706,2023-01-04 07:50:00,2023-01-02 07:50:00,
20232010,20232010,15,Delivered,24 minutes,76436,2023-01-02 21:49:00,2023-01-02 14:49:00,
20232011,20232011,6,Delivered,46 minutes,4443,2023-01-03 12:07:00,2023-01-02 20:07:00,
20232012,20232012,39,Delivered,44 minutes,92802,2023-01-03 19:48:00,2023-01-02 12:48:00,
20232013,20232013,25,Delivered,37 minutes,37009,2023-01-02 23:07:00,2023-01-02 14:07:00,
20232014,20232014,10,Delivered,34 minutes,82735,2023-01-02 10:13:00,2023-01-02 07:13:00,
20232015,20232015,6,Delivered,47 minutes,4220,2023-01-02 22:49:00,2023-01-02 14:49:00,
20232016,20232016,32,Delivered,49 minutes,74383,2023-01-03 07:22:00,2023-01-02 09:22:00,
20232017,20232017,27,Delivered,57 minutes,95652,2023-01-03 22:53:00,2023-01-02 07:53:00,
20232018,20232018,17,Delivered,42 minutes,31728,2023-01-04 09:02:00,2023-01-02 09:02:00,
20232019,20232019,4,Delivered,53 minutes,64127,2023-01-03 20:45:00,2023-01-02 20:45:00,
20232020,20232020,9,Delivered,56 minutes,48518,2023-01-03 08:26:00,2023-01-02 13:26:00,
20232021,20232021,21,Delivered,58 minutes,99498,2023-01-03 23:12:00,2023-01-02 08:12:00,
20232022,20232022,26,Delivered,60 minutes,18557,2023-01-03 13:12:00,2023-01-02 07:12:00,
20232023,20232023,24,Delivered,28 minutes,63573,2023-01-04 03:02:00,2023-01-02 09:02:00,
20232024,20232024,19,Delivered,60 minutes,42004,2023-01-02 22:23:00,2023-01-02 09:23:00,
20232025,20232025,26,Delivered,37 minutes,7823,2023-01-03 10:50:00,2023-01-02 08:50:00,
20232026,20232026,2,Delivered,7 minutes,75754,2023-01-02 13:13:00,2023-01-02 08:13:00,
20232027,20232027,11,Delivered,9 minutes,92045,2023-01-04 06:44:00,2023-01-02 08:44:00,
20232028,20232028,29,Delivered,28 minutes,47615,2023-01-03 12:37:00,2023-01-02 07:37:00,
20232029,20232029,38,Delivered,41 minutes,43653,2023-01-02 22:04:00,2023-01-02 07:04:00,
20232030,20232030,18,Delivered,46 minutes,53905,2023-01-04 07:26:00,2023-01-02 14:26:00,
20232031,20232031,30,Delivered,27 minutes,31128,2023-01-03 22:45:00,2023-01-02 09:45:00,
20232032,20232032,22,Delivered,25 minutes,73551,2023-01-02 20:53:00,2023-01-02 07:53:00,
20232033,20232033,35,Delivered,39 minutes,75411,2023-01-03 15:44:00,2023-01-02 14:44:00,
20232034,20232034,2,Delivered,20 minutes,5651,2023-01-02 20:36:00,2023-01-02 13:36:00,
20232035,20232035,7,Delivered,55 minutes,8511,2023-01-04 17:18:00,2023-01-02 20:18:00,
20232036,20232036,23,Delivered,43 minutes,70062,2023-01-04 01:11:00,2023-01-02 08:11:00,
20232037,20232037,5,Delivered,38 minutes,87943,2023-01-04 00:20:00,2023-01-02 14:20:00,
20232038,20232038,6,Delivered,58 minutes,44859,2023-01-03 11:53:00,2023-01-02 08:53:00,
20232039,20232039,5,Delivered,38 minutes,96815,2023-01-02 21:42:00,2023-01-02 08:42:00,
20232040,20232040,19,Delivered,9 minutes,15498,2023-01-03 15:19:00,2023-01-02 08:19:00,
20232041,20232041,36,Delivered,50 minutes,71010,2023-01-03 16:22:00,2023-01-02 07:22:00,
20232042,20232042,15,Failed,51 minutes,49130,2023-01-03 11:31:00,2023-01-02 07:31:00,
20232043,20232043,28,Delivered,35 minutes,97601,2023-01-02 15:04:00,2023-01-02 07:04:00,
20232044,20232044,6,Delivered,49 minutes,71556,2023-01-03 07:58:00,2023-01-02 08:58:00,
20232045,20232045,38,Delivered,8 minutes,47136,2023-01-04 01:44:00,2023-01-02 08:44:00,
20232046,20232046,14,Delivered,32 minutes,24280,2023-01-03 18:45:00,2023-01-02 12:45:00,
20232047,20232047,30,Delivered,33 minutes,52134,2023-01-03 10:59:00,2023-01-02 07:59:00,
20232048,20232048,31,Delivered,17 minutes,1183,2023-01-04 12:10:00,2023-01-02 14:10:00,
20232049,20232049,33,Delivered,9 minutes,39531,2023-01-02 17:24:00,2023-01-02 08:24:00,
20232050,20232050,14,Delivered,57 minutes,76031,2023-01-03 11:08:00,2023-01-02 09:08:00,
20232051,20232051,6,Delivered,42 minutes,60840,2023-01-03 06:26:00,2023-01-02 08:26:00,
20232052,20232052,17,Delivered,25 minutes,58456,2023-01-02 12:41:00,2023-01-02 09:41:00,
20232053,20232053,22,Delivered,32 minutes,34404,2023-01-02 20:54:00,2023-01-02 08:54:00,
20232054,20232054,26,Delivered,30 minutes,37490,2023-01-03 00:04:00,2023-01-02 09:04:00,
20232055,20232055,37,Delivered,16 minutes,19986,2023-01-04 06:23:00,2023-01-02 07:23:00,
20232056,20232056,1,Delivered,46 minutes,94642,2023-01-02 10:17:00,2023-01-02 08:17:00,
20232057,20232057,35,Delivered,8 minutes,17079,2023-01-04 06:46:00,2023-01-02 09:46:00,
20232058,20232058,35,Returned,5 minutes,28299,2023-01-02 20:16:00,2023-01-02 07:16:00,
20232059,20232059,40,Delivered,30 minutes,5265,2023-01-04 11:57:00,2023-01-02 14:57:00,
20232060,20232060,26,Delivered,20 minutes,258,2023-01-04 00:15:00,2023-01-02 07:15:00,
20232061,20232061,16,Delivered,29 minutes,15797,2023-01-03 07:02:00,2023-01-02 08:02:00,
20232062,20232062,31,Delivered,38 minutes,98096,2023-01-03 10:06:00,2023-01-02 13:06:00,
20232063,20232063,28,Delivered,53 minutes,88211,2023-01-02 11:38:00,2023-01-02 07:38:00,
20232064,20232064,11,Delivered,45 minutes,40662,2023-01-03 08:20:00,2023-01-02 12:20:00,
20232065,20232065,32,Delivered,41 minutes,41177,2023-01-02 18:49:00,2023-01-02 12:49:00,
20232066,20232066,34,Delivered,42 minutes,42738,2023-01-03 10:15:00,2023-01-02 12:15:00,
20232067,20232067,1,Delivered,31 minutes,81848,2023-01-03 11:57:00,2023-01-02 12:57:00,
20232068,20232068,7,Delivered,19 minutes,5785,2023-01-03 06:17:00,2023-01-02 08:17:00,
20232069,20232069,21,Delivered,20 minutes,49846,2023-01-02 12:03:00,2023-01-02 09:03:00,
20232070,20232070,12,Failed,50 minutes,48562,2023-01-03 19:42:00,2023-01-02 08:42:00,
20232071,20232071,37,Delivered,6 minutes,68244,2023-01-02 15:49:00,2023-01-02 09:49:00,
20232072,20232072,13,Delivered,24 minutes,89113,2023-01-03 00:59:00,2023-01-02 09:59:00,
20232073,20232073,8,Delivered,47 minutes,50334,2023-01-04 07:26:00,2023-01-02 08:26:00,
20232074,20232074,1,Delivered,39 minutes,18942,2023-01-03 03:34:00,2023-01-02 12:34:00,
20232075,20232075,36,Delivered,9 minutes,88586,2023-01-04 10:07:00,2023-01-02 12:07:00,
20232076,20232076,30,Delivered,49 minutes,29140,2023-01-02 11:52:00,2023-01-02 07:52:00,
20232077,20232077,18,Delivered,34 minutes,46522,2023-01-03 21:57:00,2023-01-02 08:57:00,
20232078,20232078,38,Delivered,10 minutes,68925,2023-01-02 21:19:00,2023-01-02 19:19:00,
20232079,20232079,4,Delivered,44 minutes,25329,2023-01-03 18:06:00,2023-01-02 08:06:00,
20232080,20232080,8,Delivered,9 minutes,69083,2023-01-04 11:12:00,2023-01-02 14:12:00,
20232081,20232081,4,Delivered,6 minutes,92997,2023-01-02 16:06:00,2023-01-02 09:06:00,
20232082,20232082,28,Delivered,41 minutes,10677,2023-01-03 01:58:00,2023-01-02 07:58:00,
20232083,20232083,14,Delivered,23 minutes,59291,2023-01-02 23:31:00,2023-01-02 08:31:00,
20232084,20232084,17,Delivered,57 minutes,47457,2023-01-03 11:08:00,2023-01-02 13:08:00,
20232085,20232085,16,Delivered,11 minutes,47400,2023-01-03 02:51:00,2023-01-02 07:51:00,
20232086,20232086,30,Delivered,8 minutes,74421,2023-01-04 06:22:00,2023-01-02 09:22:00,
20232087,20232087,5,Delivered,30 minutes,15855,2023-01-02 22:52:00,2023-01-02 07:52:00,
20232088,20232088,30,Delivered,18 minutes,12930,2023-01-03 11:38:00,2023-01-02 09:38:00,
20232089,20232089,28,Delivered,37 minutes,7867,2023-01-03 02:16:00,2023-01-02 09:16:00,
20232090,20232090,23,Delivered,59 minutes,92544,2023-01-03 12:33:00,2023-01-02 14:33:00,
20232091,20232091,26,Delivered,50 minutes,92526,2023-01-04 06:54:00,2023-01-02 07:54:00,
20232092,20232092,10,Delivered,58 minutes,23182,2023-01-03 02:46:00,2023-01-02 08:46:00,
20232093,20232093,30,Delivered,7 minutes,1351,2023-01-03 16:27:00,2023-01-02 12:27:00,
20232094,20232094,17,Delivered,26 minutes,52600,2023-01-03 19:26:00,2023-01-02 08:26:00,
20232095,20232095,28,Delivered,11 minutes,86236,2023-01-04 04:31:00,2023-01-02 20:31:00,
20232096,20232096,14,Delivered,8 minutes,74847,2023-01-03 10:05:00,2023-01-02 07:05:00,
20232097,20232097,14,Delivered,47 minutes,31725,2023-01-04 09:59:00,2023-01-02 14:59:00,
20232098,20232098,32,Delivered,26 minutes,92596,2023-01-03 00:50:00,2023-01-02 09:50:00,
20232099,20232099,4,Delivered,55 minutes,57448,2023-01-04 03:52:00,2023-01-02 12:52:00,
20232100,20232100,18,Delivered,5 minutes,49198,2023-01-03 23:51:00,2023-01-02 08:51:00,
